offer_id	created_date	last_updated_date	agreement_id	organization_id	offer_type	agreement_row_id	gsfa_customer_id	product_cluster	shipments	wps	uom	published_revenue	recommended_pid_name	recommended_revenue	pid_category	discount_selection	selected_pid_name	expected_revenue	percentage_initial_discount	absolute_initial_discount	authority_level	authority_name	avg_discount
CL_O_113573650941	28 Feb 2019 21:26:07.000000	10 Jan 2020 17:58:30.000000	CL_O_113573650941	DHL CL	Standard GPI Offer	1-6G4FV1D	CLC10004845	TD3rd	1	10	Kg	35.745000000	TD3_29%	16494.180000000	Fixed/Flavoured	Higher Discount	TD3_75%	8.936400000	?	?	4	CL Country Manager	74.9995800
CL_O_114831445871	24 Jul 2019 16:47:46.000000	24 Jul 2019 19:06:34.000000	?	DHL CL	Standard GPI Offer	?	CLS12203WL	TDImport	4	43.5	Kg	232.017600000	TDI_51%	78623.700000000	Fixed/Flavoured	Higher Discount	TDI_53%	109.048200000	?	?	1	CL Sales Manager	53.0000310
CL_O_116009692895	11 Dec 2019 15:09:08.000000	5 Feb 2020 20:07:49.000000	CL_O_116009692895	DHL CL	Standard GPI Offer	1-7KFTBFT	COMET_1-7CLQHLJ	TDExport	3	389	Kg	1758.022800000	TDE_76%	325426.800000000	Fixed/Flavoured	Lower Discount	TDE_75%	439.505400000	?	?	4	CL Country Manager	75.0000170
CL_O_116541739975	13 Feb 2020 13:28:24.000000	18 Feb 2020 13:46:14.000000	CL_O_116541739975	DHL CL	Standard GPI Offer	1-7M8BR01	CLCSINC26941394_584	TDImport	1	2	Kg	10.075800000	TDI_20%	6387.720000000	Fixed/Flavoured	Higher Discount	TDI_40%	6.045600000	?	?	2	CL Pricing	39.9988090
CL_O_113367909080	29 Jan 2019 19:30:18.000000	29 Jan 2019 19:33:28.000000	?	DHL CL	Standard GPI Offer	?	CLSCSV_0125018606465	TDImport	1	2	Kg	9.604800000	TDI_FTB1801	4642.380000000	Fixed/Flavoured	?	TDI_FTB1801	6.915600000	?	?	?	?	27.9985010
CL_O_113261736965	9 Jan 2019 15:23:04.000000	11 Jan 2019 18:32:38.000000	?	DHL CL	Standard GPI Offer	?	CLSCSV_1206018861697	TDImport	3	8	Kg	65.169000000	TDI_40%	26576.820000000	Fixed/Flavoured	Higher Discount	TDI_43%	37.146600000	?	?	2	CL Pricing	42.9995860
CL_O_116283770790	16 Jan 2020 15:41:29.000000	23 Jan 2020 20:47:53.000000	CL_O_116283770790	DHL CL	Standard GPI Offer	1-7IEDUG3	CLSCSV_0926018227132	TDExport	1	10	Kg	21.364800000	TDE_38%	10226.220000000	Fixed/Flavoured	Higher Discount	TDE_40%	12.819000000	?	?	1	CL Sales Manager	39.9994380
CL_O_114055218283	24 Apr 2019 13:35:42.000000	5 Jun 2019 14:18:31.000000	?	DHL CL	Standard GPI Offer	?	CLSCSV_0308016193076	TDDom	20	1	Kg	12988.800000000	TDD_13%	11300.400000000	Fixed/Flavoured	Higher Discount	TDD_50%	6494.400000000	?	?	3	CL Commercial Director	50.0000000
CL_O_113453397428	14 Feb 2019 21:00:38.000000	15 Feb 2019 15:07:53.000000	?	DHL CL	Standard GPI Offer	?	CLSCSV_0204018651183	TDImport	20	10	Kg	514.524000000	TDI_59%	139336.800000000	Fixed/Flavoured	Lower Discount	TDI_50%	257.256000000	?	?	1	CL Sales Manager	50.0011660
CL_O_115321599111	24 Sep 2019 14:51:59.000000	13 Jan 2020 17:46:01.000000	?	DHL CL	Standard GPI Offer	?	CLSCSV_0117018558755	TDExport	3	15	Kg	104.063400000	TDE_42%	43170.120000000	Fixed/Flavoured	Lower Discount	TDE_40%	62.438400000	?	?	?	?	39.9996540
CL_O_113634547278	7 Mar 2019 15:08:35.000000	13 Jan 2020 09:50:55.000000	CL_O_113634547278	DHL CL	Standard GPI Offer	1-1BGZ45-906	CLSCSV_0222018763393	TDExport	1	0.5	Kg	2.838600000	TDE_FTB1801	1345.500000000	Fixed/Flavoured	?	TDE_FTB1801	2.043600000	?	?	?	?	28.0067640
CL_O_114615239665	28 Jun 2019 20:07:24.000000	28 Jun 2019 21:42:58.000000	?	DHL CL	Standard GPI Offer	?	CLSION_0619019558112	TDExport	4	5	Kg	57.206400000	TDE_FTB1803	23336.160000000	Fixed/Flavoured	?	TDE_FTB1803	34.324800000	?	?	?	?	39.9983220
CL_O_116980681115	26 Mar 2020 14:29:08.000000	26 Mar 2020 14:49:25.000000	?	DHL CL	Standard GPI Offer	?	CLSCSV_03090111560379	TDExport	3	0.5	Kg	10.684800000	TDE_FTB1801	6522.480000000	Fixed/Flavoured	?	TDE_FTB1801	7.700400000	?	?	?	?	27.9312670
CL_O_116584555625	18 Feb 2020 18:26:35.000000	18 Feb 2020 18:28:28.000000	?	DHL CL	Standard GPI Offer	?	CLSCSV_02100111353162	TDImport	1	5	Kg	16.488000000	TDI_38%	8095.920000000	Fixed/Flavoured	Higher Discount	TDI_40%	9.892800000	?	?	?	?	40.0000000
CL_O_114615781554	28 Jun 2019 20:51:11.000000	28 Jun 2019 20:52:30.000000	?	DHL CL	Standard GPI Offer	?	CLSCSV_0626019618821	TDImport	1	5	Kg	15.718200000	TDI_FTB1801	7693.680000000	Fixed/Flavoured	Higher Discount	TDI_FTB1802	10.219200000	?	?	?	?	34.9849220
CL_O_115590624131	25 Oct 2019 20:36:02.000000	6 Nov 2019 12:22:23.000000	?	DHL CL	Standard GPI Offer	?	COMET_1-3SYOLNJ	TDDom	50	8	Kg	106885.020000000	TDD_29%	75888.420000000	Fixed/Flavoured	?	TDD_29%	75888.420000000	?	?	1	CL Sales Manager	28.9999480
CL_O_114775053432	17 Jul 2019 19:12:48.000000	6 Aug 2019 15:10:21.000000	CL_O_114775053432	DHL CL	Standard GPI Offer	1-6V1MS2B	CLSCSV_0402016435440	TDExport	1	0.5	Kg	4.355400000	TDE_14%	2559.780000000	Fixed/Flavoured	Higher Discount	TDE_25%	3.240000000	?	?	?	?	25.6095880
CL_O_114421225210	5 Jun 2019 19:03:09.000000	5 Jun 2019 19:06:39.000000	?	DHL CL	Standard GPI Offer	?	CLSCSV_0603019445318	TDImport	2	0.75	Kg	13.006800000	TDI_31%	6253.020000000	Fixed/Flavoured	Lower Discount	TDI_30%	9.105000000	?	?	?	?	29.9981550
CL_O_114694078196	8 Jul 2019 14:24:45.000000	11 Jul 2019 14:12:18.000000	?	DHL CL	Standard GPI Offer	?	CLSCSV_0627019622158	TDExport	10	20	Kg	302.622000000	TDE_54%	94331.400000000	Fixed/Flavoured	Higher Discount	TDE_58%	127.104000000	?	?	3	CL Commercial Director	57.9990880
CL_O_114119831642	30 Apr 2019 21:40:39.000000	30 Apr 2019 21:42:00.000000	?	DHL CL	Standard GPI Offer	?	CLCSINC26702865_55	TDImport	2	15	Kg	40.236000000	TDI_36%	17450.520000000	Fixed/Flavoured	Lower Discount	TDI_35%	26.152800000	?	?	?	?	35.0014910
CL_O_113584487149	1 Mar 2019 20:51:52.000000	13 Jan 2020 09:50:55.000000	CL_O_113584487149	DHL CL	Standard GPI Offer	1-1BGZ45-897	CLSCSV_0226018777836	TDImport	1	20	Kg	45.238200000	TDI_FTB1802	19116.240000000	Fixed/Flavoured	Higher Discount	TDI_FTB1803	27.150000000	?	?	?	?	39.9843500
CL_O_113367044091	29 Jan 2019 16:04:20.000000	13 Jan 2020 09:50:55.000000	CL_O_113367044091	DHL CL	Standard GPI Offer	1-1BGZ45-859	COMET_1-3JYSR6J	TDImport	1	5	Kg	15.718200000	TDI_FTB1801	7548.600000000	Fixed/Flavoured	Higher Discount	TDI_FTB1803	9.432000000	?	?	2	CL Pricing	39.9931290
CL_O_116140779711	30 Dec 2019 20:48:56.000000	31 Dec 2019 15:33:57.000000	?	DHL CL	Standard GPI Offer	?	CLSION_09270110367417	TDImport	5	0.5	Kg	32.856000000	TDI_36%	15657.000000000	Fixed/Flavoured	?	TDI_36%	21.027000000	?	?	?	?	36.0025570
CL_O_113556956384	27 Feb 2019 19:25:31.000000	12 Nov 2019 06:38:15.000000	?	DHL CL	Standard GPI Offer	?	CLS47105CS	TDImport	3	5	Kg	27.018000000	TDI_35%	11410.920000000	Fixed/Flavoured	?	TDI_35%	17.560800000	?	?	?	?	35.0033310
CL_O_113773403585	20 Mar 2019 13:48:20.000000	9 Jul 2019 22:40:31.000000	CL_O_113773403585	DHL CL	Standard GPI Offer	1-6R8WGVB	CLS50311CS	TDImport	1	5	Kg	6.429600000	TDI_18%	3517.680000000	Fixed/Flavoured	?	TDI_18%	5.272200000	?	?	?	?	18.0011200
CL_O_114707446440	9 Jul 2019 20:16:22.000000	10 Jul 2019 20:41:21.000000	?	DHL CL	Standard GPI Offer	?	CLSCSV_0708019713440	TDDom	4	50	Kg	41500.500000000	TDD_21%	32785.380000000	Fixed/Flavoured	Higher Discount	TDD_50%	20750.160000000	?	?	3	CL Commercial Director	50.0002170
CL_O_113677284878	12 Mar 2019 16:37:06.000000	3 Apr 2019 15:26:29.000000	CL_O_113677284878	DHL CL	Standard GPI Offer	1-6DYRLPP	COMET_1-5GGD1V9	TDExport	1	50	Kg	46.078200000	TDE_37%	19473.660000000	Fixed/Flavoured	Higher Discount	TDE_40%	27.646800000	?	?	2	CL Pricing	40.0002600
CL_O_114788870249	19 Jul 2019 16:23:40.000000	2 Aug 2019 20:11:16.000000	CL_O_114788870249	DHL CL	Standard GPI Offer	1-6UQY69P	CLSCSV_0820017722606	TDImport	4	2	Kg	47.733600000	TDI_38%	20220.960000000	Fixed/Flavoured	Higher Discount	TDI_40%	28.639200000	?	?	?	?	40.0020110
CL_O_115838073955	22 Nov 2019 15:07:42.000000	26 Nov 2019 14:44:06.000000	?	DHL CL	Standard GPI Offer	?	COMET_1-G548ZB	TDExport	4	33.4	Kg	144.003000000	TDE_45%	62976.060000000	Fixed/Flavoured	Lower Discount	TDE_40%	86.401200000	?	?	?	?	40.0004170
CL_O_115780203873	15 Nov 2019 20:07:52.000000	15 Nov 2019 20:10:58.000000	?	DHL CL	Standard GPI Offer	?	CLSCSV_11130110745346	TDImport	2	1	Kg	15.144000000	TDI_31%	8378.760000000	Fixed/Flavoured	?	TDI_31%	10.449600000	?	?	?	?	30.9984150
CL_O_115043167387	21 Aug 2019 21:20:52.000000	22 Aug 2019 13:41:21.000000	?	DHL CL	Standard GPI Offer	?	CLSCSV_0806019932958	TDDom	10	2	Kg	7636.500000000	TDD_11%	6796.620000000	Fixed/Flavoured	Higher Discount	TDD_20%	6109.320000000	?	?	1	CL Sales Manager	19.9984290
CL_O_116572946094	17 Feb 2020 20:24:01.000000	24 Feb 2020 17:39:46.000000	CL_O_116572946094	DHL CL	Standard GPI Offer	1-7N5QPP5	CLSCSV_02130111378263	TDExport	1	2	Kg	6.205800000	TDE_FTB1801	3544.440000000	Fixed/Flavoured	Higher Discount	TDE_FTB1802	4.040400000	?	?	?	?	34.8931640
CL_O_114253973234	17 May 2019 16:05:21.000000	13 Jan 2020 09:50:55.000000	CL_O_114253973234	DHL CL	Standard GPI Offer	1-1BGZ45-993	COMET_1-6JQ4Z0O	TDImport	1	0.5	Kg	5.970000000	TDI_FTB1801	2977.140000000	Fixed/Flavoured	?	TDI_FTB1801	4.298400000	?	?	?	?	28.0000000
CL_O_115779941011	15 Nov 2019 19:08:21.000000	19 Nov 2019 18:40:21.000000	?	DHL CL	Standard GPI Offer	?	CLSION_08180110003269	TDExport	50	4.3	Kg	343.513200000	TDE_56%	121193.760000000	Fixed/Flavoured	Higher Discount	TDE_70%	103.080000000	?	?	3	CL Commercial Director	69.9924200
CL_O_113880849780	1 Apr 2019 13:55:36.000000	1 Apr 2019 13:57:09.000000	?	DHL CL	Standard GPI Offer	?	COMET_1-6D94R2B	TDExport	1	0.5	Kg	3.625200000	TDE_FTB1801	1777.620000000	Fixed/Flavoured	?	TDE_FTB1801	2.610000000	?	?	?	?	28.0039720
CL_O_114401984585	3 Jun 2019 20:43:10.000000	4 Jun 2019 13:16:19.000000	?	DHL CL	Standard GPI Offer	?	CLSCSV_0413016547144	TDExport	1	1	Kg	6.067200000	TDE_14%	3693.360000000	Fixed/Flavoured	?	TDE_20%	4.854000000	?	?	?	?	19.9960440
CL_O_114739550343	12 Jul 2019 20:18:28.000000	13 Jan 2020 17:46:01.000000	?	DHL CL	Standard GPI Offer	?	CLSCSV_0709019717191	TDDom	10	1	Kg	5410.860000000	TDD_09%	4924.020000000	Fixed/Flavoured	?	TDD_10%	4869.960000000	?	?	?	?	9.9965620
CL_O_115206702280	10 Sep 2019 18:36:25.000000	10 Sep 2019 18:52:02.000000	?	DHL CL	Standard GPI Offer	?	COMET_1-4D5XBV3	TDExport	1	13.6	Kg	15.096600000	TDE_25%	8052.840000000	Fixed/Flavoured	?	TDE_25%	11.322600000	?	?	?	?	24.9990060
CL_O_115502943941	15 Oct 2019 17:40:36.000000	16 Oct 2019 20:09:18.000000	CL_O_115502943941	DHL CL	Standard GPI Offer	1-74L8BR3	COMET_1-5ALXLHT	TDImport	1	5	Kg	9.006000000	TDI_18%	5258.280000000	Fixed/Flavoured	?	TDI_18%	7.384800000	?	?	?	?	18.0013320
CL_O_113495950754	20 Feb 2019 20:18:12.000000	21 Feb 2019 20:13:44.000000	?	DHL CL	Standard GPI Offer	?	COMET_1-2DS5YKC	TDImport	1	5	Kg	9.006000000	TDI_18%	4864.740000000	Fixed/Flavoured	?	TDI_20%	7.204800000	?	?	?	?	20.0000000
CL_O_116265583297	14 Jan 2020 20:51:14.000000	14 Jan 2020 20:53:01.000000	?	DHL CL	Standard GPI Offer	?	CLSCSV_1019018442038	TDExport	1	2	Kg	8.734200000	TDE_34%	4483.080000000	Fixed/Flavoured	?	TDE_34%	5.764800000	?	?	?	?	33.9973900
CL_O_116293555340	17 Jan 2020 14:42:19.000000	17 Jan 2020 17:20:07.000000	?	DHL CL	Standard GPI Offer	?	CLS41937CS	TDImport	4	10	Kg	107.952000000	TDI_50%	41670.000000000	Fixed/Flavoured	Higher Discount	TDI_58%	45.340800000	?	?	1	CL Sales Manager	57.9991110
CL_O_116586375955	19 Feb 2020 13:03:36.000000	19 Feb 2020 13:07:33.000000	?	DHL CL	Standard GPI Offer	?	CLSCSV_02170111398936	TDImport	3	30	Kg	203.796000000	TDI_FTB1805	80799.300000000	Fixed/Flavoured	?	TDI_FTB1805	102.025800000	?	?	2	CL Pricing	49.9372900
CL_O_115710580777	8 Nov 2019 01:28:11.000000	10 Jan 2020 17:58:30.000000	?	DHL CL	Standard GPI Offer	?	COMET_1-39YO90Y	TDExport	1	0.5	Kg	5.752800000	TDE_14%	3679.260000000	Fixed/Flavoured	Higher Discount	TDE_50%	2.876400000	?	?	1	CL Sales Manager	50.0000000
CL_O_113400468353	4 Feb 2019 20:24:33.000000	5 Feb 2019 17:26:19.000000	?	DHL CL	Standard GPI Offer	?	CLSISL_1214018924143	TDExport	10	0.5	Kg	30.839400000	TDE_33%	13541.520000000	Fixed/Flavoured	Higher Discount	TDE_ECOM181	15.120000000	?	?	2	CL Pricing	50.9718090
CL_O_115321854989	24 Sep 2019 17:17:49.000000	28 Oct 2019 17:41:10.000000	?	DHL CL	Standard GPI Offer	?	COMET_1-2UY9EBC	TDDom	30	1	Kg	16708.320000000	TDD_15%	14202.000000000	Fixed/Flavoured	Higher Discount	TDD_40%	10025.100000000	?	?	3	CL Commercial Director	39.9993540
CL_O_115683775759	5 Nov 2019 15:21:30.000000	20 Nov 2019 14:56:39.000000	CL_O_115683775759	DHL CL	Standard GPI Offer	1-79JWB8Z	CLSION_10280110606364	TDImport	2	2	Kg	19.209600000	TDI_33%	9460.080000000	Fixed/Flavoured	?	TDI_33%	12.870000000	?	?	?	?	33.0022490
CL_O_116227368988	9 Jan 2020 21:12:14.000000	15 Jan 2020 21:20:51.000000	?	DHL CL	Standard GPI Offer	?	COMET_1-4SEDW0M	TDImport	10	110	Kg	1622.294400000	TDI_69%	384571.440000000	Fixed/Flavoured	Lower Discount	CustomPID	0.000000000	?	?	?	?	100.0000000
CL_O_114975858752	12 Aug 2019 14:50:58.000000	20 Nov 2019 13:37:53.000000	CL_O_114975858752	DHL CL	Standard GPI Offer	1-79JBO51	CLSION_0731019888609	TDImport	10	5	Kg	63.738000000	TDI_40%	27190.800000000	Fixed/Flavoured	Higher Discount	TDI_65%	22.260000000	?	?	3	CL Commercial Director	65.0757790
CL_O_114504138551	17 Jun 2019 21:44:45.000000	18 Jun 2019 17:03:01.000000	?	DHL CL	Standard GPI Offer	?	CLCSINC14143574_41	TDExport	1	10	Kg	15.962400000	TDE_27%	8141.880000000	Fixed/Flavoured	Lower Discount	TDE_25%	11.971800000	?	?	?	?	25.0000000
CL_O_114547218411	21 Jun 2019 20:08:46.000000	24 Jun 2019 16:01:36.000000	?	DHL CL	Standard GPI Offer	?	CLSION_0606019464062	TDExport	5	15	Kg	78.668400000	TDE_40%	32294.400000000	Fixed/Flavoured	Higher Discount	TDE_ECOM181	38.745000000	?	?	2	CL Pricing	50.7489670
CL_O_115802630145	19 Nov 2019 14:10:48.000000	20 Nov 2019 14:38:17.000000	?	DHL CL	Standard GPI Offer	?	CLSCSV_1205018849691	TDImport	20	20	Kg	511.920000000	TDI_59%	164307.600000000	Fixed/Flavoured	Higher Discount	TDI_61%	199.644000000	?	?	1	CL Sales Manager	61.0009380
CL_O_113505211795	21 Feb 2019 17:20:25.000000	6 Oct 2019 11:06:15.000000	?	DHL CL	Standard GPI Offer	?	CLSCSV_0214018704966	TDExport	2	2	Kg	16.653600000	TDE_FTB1801	7847.160000000	Fixed/Flavoured	?	TDE_FTB1801	11.989200000	?	?	?	?	28.0083590
CL_O_116571058243	17 Feb 2020 15:40:37.000000	2 Mar 2020 18:22:33.000000	CL_O_116571058243	DHL CL	Standard GPI Offer	1-7OIMMJ9	CLSCSV_02120111377524	TDDom	3	1	Kg	1560.420000000	TDD_03%	1513.620000000	Fixed/Flavoured	Higher Discount	TDD_40%	936.180000000	?	?	3	CL Commercial Director	40.0046140
CL_O_113785463646	21 Mar 2019 15:33:42.000000	27 Mar 2019 19:18:31.000000	CL_O_113785463646	DHL CL	Standard GPI Offer	1-6CTLPUD	CLC10000484	TDImport	5	1	Kg	20.235000000	TDI_33%	9017.100000000	Fixed/Flavoured	Higher Discount	TDI_50%	10.116000000	?	?	1	CL Sales Manager	50.0074130
CL_O_114342036276	28 May 2019 17:03:28.000000	11 Jul 2019 14:41:57.000000	?	DHL CL	Standard GPI Offer	?	CLC10000914	TDImport	9	40	Kg	482.689800000	TDI_59%	137832.840000000	Fixed/Flavoured	Higher Discount	TDI_60%	193.077000000	?	?	1	CL Sales Manager	59.9997760
CL_O_114431065464	6 Jun 2019 20:33:03.000000	6 Jun 2019 20:34:17.000000	?	DHL CL	Standard GPI Offer	?	CLSION_0601019437344	TDImport	1	2	Kg	8.270400000	TDI_FTB1801	4128.300000000	Fixed/Flavoured	Higher Discount	TDI_FTB1802	5.376000000	?	?	?	?	34.9970980
CL_O_115381875973	30 Sep 2019 17:42:36.000000	30 Sep 2019 22:06:04.000000	?	DHL CL	Standard GPI Offer	?	CLSCSV_09270110366985	TDImport	1	15	Kg	20.118000000	TDI_FTB1801	10510.740000000	Fixed/Flavoured	Higher Discount	TDI_FTB1803	12.071400000	?	?	2	CL Pricing	39.9970180
CL_O_114581596300	26 Jun 2019 14:53:59.000000	26 Jun 2019 14:56:00.000000	?	DHL CL	Standard GPI Offer	?	CLS33636CS	TDImport	8	400	Kg	3830.448000000	TDI_77%	601116.000000000	Fixed/Flavoured	?	TDI_77%	?	?	?	3	CL Commercial Director	?
CL_O_115492422962	14 Oct 2019 17:23:40.000000	18 Oct 2019 19:33:38.000000	CL_O_115492422962	DHL CL	Standard GPI Offer	1-74XVN53	COMET_1-1KG221U	TDImport	3	9.8	Kg	27.183000000	TDI_35%	12597.480000000	Fixed/Flavoured	Higher Discount	TDI_50%	13.591200000	?	?	1	CL Sales Manager	50.0011040
CL_O_114643491517	1 Jul 2019 16:29:48.000000	28 Jan 2020 19:32:25.000000	?	DHL CL	Standard GPI Offer	?	CLSION_0621019578926	TDImport	1	5	Kg	6.429600000	TDI_FTB1801	3147.060000000	Fixed/Flavoured	Higher Discount	TDI_FTB1802	4.178400000	?	?	?	?	35.0130650
CL_O_115041145846	21 Aug 2019 14:42:11.000000	2 Oct 2019 18:05:12.000000	CL_O_115041145846	DHL CL	Standard GPI Offer	1-72SEIBB	COMET_1-6WMKI0F	TD3rd	20	85	Kg	3257.100000000	TD3_74%	602899.200000000	Fixed/Flavoured	?	TD3_74%	846.840000000	?	?	3	CL Commercial Director	74.0001840
CL_O_116957152065	25 Mar 2020 01:05:22.000000	31 Mar 2020 00:22:47.000000	?	DHL CL	Standard GPI Offer	?	CLC10004038	TDImport	2	20	Kg	94.920000000	TDI_48%	42501.000000000	Fixed/Flavoured	Higher Discount	TDI_50%	47.460000000	?	?	1	CL Sales Manager	50.0000000
CL_O_114206666580	13 May 2019 15:41:33.000000	13 May 2019 22:46:27.000000	?	DHL CL	Standard GPI Offer	?	CLSCSV_0509019270406	TDImport	1	300	Kg	613.804200000	TDI_61%	164320.200000000	Fixed/Flavoured	?	TDI_61%	239.383800000	?	?	1	CL Sales Manager	60.9999740
CL_O_116402069077	29 Jan 2020 14:11:09.000000	29 Jan 2020 14:13:11.000000	?	DHL CL	Standard GPI Offer	?	CLSCSV_01290111284220	TDImport	1	15	Kg	37.224000000	TDI_42%	17009.760000000	Fixed/Flavoured	?	TDI_42%	21.589800000	?	?	?	?	42.0003220
CL_O_115924816244	2 Dec 2019 17:37:12.000000	2 Dec 2019 20:00:23.000000	?	DHL CL	Standard GPI Offer	?	CLSCSV_1017018424225	TDImport	2	35	Kg	84.516000000	TDI_41%	41300.520000000	Fixed/Flavoured	Higher Discount	TDI_47%	44.793600000	?	?	1	CL Sales Manager	46.9998580
CL_O_115515759741	17 Oct 2019 01:44:09.000000	23 Oct 2019 18:35:00.000000	?	DHL CL	Standard GPI Offer	?	CLSCSV_0808019951962	TDImport	3	70	Kg	419.322600000	TDI_FTB1807	119967.120000000	Fixed/Flavoured	?	TDI_FTB1807	167.673600000	?	?	2	CL Pricing	60.0132210
CL_O_116419231768	30 Jan 2020 18:22:40.000000	3 Feb 2020 16:27:11.000000	CL_O_116419231768	DHL CL	Standard GPI Offer	1-7K1ILBD	CLSCSV_01290111291580	TDExport	1	10	Kg	14.079600000	TDE_34%	7324.380000000	Fixed/Flavoured	Higher Discount	TDE_40%	8.448000000	?	?	1	CL Sales Manager	39.9982950
CL_O_116008937416	11 Dec 2019 14:07:16.000000	22 Jan 2020 22:01:25.000000	CL_O_116008937416	DHL CL	Standard GPI Offer	1-7I8OJLT	CLSION_12090110934925	TDImport	1	30	Kg	64.750200000	TDI_40%	29964.600000000	Fixed/Flavoured	Higher Discount	TDI_50%	32.374800000	?	?	1	CL Sales Manager	50.0004630
CL_O_115311468196	23 Sep 2019 20:18:12.000000	27 Sep 2019 18:32:20.000000	CL_O_115311468196	DHL CL	Standard GPI Offer	1-721K5GZ	CLSION_09180110264100	TDImport	1	15	Kg	35.482200000	TDI_36%	16242.240000000	Fixed/Flavoured	?	TDI_36%	22.708800000	?	?	?	?	35.9994590
CL_O_114882198180	30 Jul 2019 22:47:27.000000	31 Jul 2019 18:59:37.000000	?	DHL CL	Standard GPI Offer	?	CLSCSV_0708019709229	TDExport	2	10	Kg	26.011200000	TDE_31%	12513.120000000	Fixed/Flavoured	Higher Discount	TDE_37%	16.387200000	?	?	2	CL Pricing	36.9994460
CL_O_116909420639	19 Mar 2020 21:21:36.000000	3 Apr 2020 12:35:39.000000	?	DHL CL	Standard GPI Offer	?	CLSION_10020110407415	TDExport	500	0.5	Kg	1650.693600000	TDE_74%	370271.940000000	Fixed/Flavoured	Higher Discount	TDE_ECOM183	631.500000000	?	?	2	CL Pricing	61.7433540
