opportunity_id	product_id	gsfa_customer_id	avg_weight	committed_product_revenue	potential_product_revenue	number_of_shipments	origin	destination	product_line	main_competitor	secondary_competitor	dhl_current_transit_time	dhl_transit_time_status
1-6NHEFWT	1-LRWO4-6	CLS49116CS	                .5000000	17.640000	17.640000	              10.0000000	CHILE	Europe	?	Correos de Chile	?	?	?
1-6NGV1UE	1-LRWO4-16	CLSCSV_0605019467722	               1.0000000	15.000000	12.000000	               1.0000000	Asia	CHILE	?	OTHER	?	?	?
1-6QCEQG4	1-LRWO4-6	CLSCSV_0701019657009	              10.0000000	18.000000	18.000000	               1.0000000	CHILE	Europe	?	FedEx	?	?	?
1-6KR8DPW	1-LRWO4-16	CLSION_0510019267291	              60.0000000	66.540000	66.540000	               1.0000000	CHINA, PEOPLES REPUBLIC	CHILE	?	Other	?	?	?
1-7BD7JJF	1-LRWO4-16	CLSCSV_11280110861939	              30.0000000	20.700000	20.700000	               1.0000000	DENMARK	CHILE	?	?	?	2	Faster
1-6BDIHBK	1-LRWO4-16	CLSCSV_0314018894452	              15.0000000	24.000000	24.000000	               1.0000000	CHINA, PEOPLES REPUBLIC	CHILE	?	?	?	?	?
1-72FZ817	1-LRWO4-16	CLS29484WL	              42.0000000	30.540000	30.540000	               1.0000000	TAIWAN	CHILE	?	?	?	2	Equal
1-75BCOR5	1-LRWO4-5	CLC10000937	               1.0000000	18.000000	18.000000	              10.0000000	CHILE	North America	?	?	?	?	?
1-7M9YJTU	1-LRWO4-6	CLSCSV_02110111363088	              10.0000000	14.400000	13.800000	               1.0000000	CHILE	North America	?	OTHER	?	?	?
1-6RETSZH	1-LRWO4-34	CLSION_0706019697883	               1.0000000	36.000000	36.000000	             100.0000000	CHILE	CHILE	?	Chile Express	?	?	?
1-78CJV63	1-LRWO4-16	CLSCSV_11060110693359	             300.0000000	210.000000	263.436000	               2.0000000	UNITED STATES OF AMERICA	CHILE	?	?	?	1	Faster
1-776B6DV	1-LRWO4-16	COMET_1-35ERJAD	             750.0000000	420.000000	420.000000	               1.0000000	Asia	CHILE	?	?	?	?	?
1-647RRKZ	1-LRWO4-11	CLSCSV_0116018552534	             100.0000000	90.000000	90.000000	               2.0000000	CHINA, PEOPLES REPUBLIC	CHILE	?	?	?	?	?
1-6EB9ESZ	1-LRWO4-6	CLS53660CS	             232.0000000	168.000000	168.000000	               1.0000000	CHILE	BRUNEI	?	OTHER	?	?	?
1-6CML4K8	1-LRWO4-16	COMET_1-6CML4K1	             100.0000000	90.000000	90.000000	               3.0000000	Europe	CHILE	?	Freight Forwarder	?	?	?
1-79S23U6	1-LRWO4-6	CLS75400WL	               5.0000000	6.000000	6.000000	               2.0000000	CHILE	Europe	?	NONE	?	?	?
1-717TDIL	1-LRWO4-16	CLS90059CS	              95.0000000	31.320000	31.320000	               1.0000000	UNITED KINGDOM	CHILE	?	Other	?	2	Equal
1-6DKAS3Q	1-LRWO4-16	CLSION_0816017700352	             134.0000000	72.000000	72.000000	               1.0000000	CHINA, PEOPLES REPUBLIC	CHILE	?	Other	?	?	?
1-6R8DC4W	1-LRWO4-5	CLSCSV_0708019712480	               3.0000000	6.300000	6.300000	               1.0000000	CHILE	CANADA	?	Other	?	2	Equal
1-71TZJPJ	1-LRWO4-5	CLS79669CS	                .5000000	10.800000	15.000000	               3.0000000	CHILE	South America	?	FedEx	?	?	?
1-6C569EW	1-LRWO4-16	CLC10002286	               5.0000000	9.000000	9.000000	               1.0000000	UNITED STATES OF AMERICA	CHILE	?	?	?	1	Faster
1-7J3HVBK	1-LRWO4-16	CLSCSV_0903018022234	              65.0000000	48.000000	48.000000	               1.0000000	UNITED STATES OF AMERICA	CHILE	?	?	?	1	Faster
1-7F3XA1V	1-LRWO4-5	CLSPR08060200	                .5000000	1.746600	1.746600	               1.0000000	CHILE	ARGENTINA	?	?	?	1	Equal
1-77RL93R	1-LRWO4-6	CLS3753IS	               7.0000000	18.000000	18.000000	              20.0000000	CHILE	MEXICO	?	?	?	3	Faster
1-665RA0I	1-LRWO4-6	CLC10003420	              20.0000000	120.000000	120.000000	              10.0000000	CHILE	North America	?	Freight Forwarder	?	?	?
1-78SY1ZD	1-LRWO4-6	COMET_1-1H28Z2Y	             284.0000000	91.860000	91.860000	               1.0000000	CHILE	PERU	?	FedEx	?	1	Faster
1-6M0GWUA	1-LRWO4-6	CLS36448CS	               1.0000000	18.000000	30.000000	               3.0000000	CHILE	South America	?	FedEx	?	?	?
1-6EX242F	1-LRWO4-6	CLSCSV_0408019061070	              30.0000000	94.620000	94.620000	               5.0000000	CHILE	North America	?	Correos de Chile	?	?	?
1-6QHQW60	1-LRWO4-16	COMET_1-6QHQW5T	               2.0000000	120.000000	120.000000	              40.0000000	North America	CHILE	?	Other	?	?	?
1-6DKWN3X	1-LRWO4-5	CLS91629CS	                .5000000	?	9.600000	               5.0000000	CHILE	UNITED STATES OF AMERICA	?	UPS	OTHER	1	Faster
1-6OEV6LY	1-LRWO4-16	COMET_1-6OEK1IE	              10.0000000	9.000000	9.000000	               4.0000000	DENMARK	CHILE	?	FedEx	?	2	Faster
1-6YUW8SN	1-LRWO4-16	CLSCSV_08270110069907	               5.0000000	24.000000	36.000000	               4.0000000	Asia	CHILE	?	OTHER	?	?	?
1-6W035XC	1-LRWO4-5	CLSCSV_0814019988660	                .5000000	11.673000	11.673000	               4.0000000	CHILE	Europe	?	Other	?	?	?
1-7BZYQT9	1-LRWO4-16	CLC10001113	              35.0000000	24.540000	24.540000	               1.0000000	ARGENTINA	CHILE	?	?	?	1	Equal
1-7GZQQAO	1-LRWO4-6	COMET_1-4X19BC1	                .5000000	36.000000	36.000000	              12.0000000	CHILE	North America	?	Other	?	?	?
1-7LN808H	1-LRWO4-6	COMET_1-32NN16M	              10.3000000	43.260000	43.260000	              10.0000000	CHILE	North America	?	?	?	?	?
1-6M6QZ9D	1-LRWO4-6	COMET_1-52PJ16N	             300.0000000	492.000000	492.000000	               8.0000000	CHILE	BRAZIL	?	?	?	2	Equal
1-6L8KHN5	1-LRWO4-16	CLSCSV_0528019407478	              10.0000000	10.800000	10.800000	               1.0000000	CHINA, PEOPLES REPUBLIC	CHILE	?	?	?	?	?
1-6MMMZ4F	1-LRWO4-6	CLS35962CS	              10.0000000	180.000000	180.000000	              20.0000000	CHILE	CHINA, PEOPLES REPUBLIC	?	FedEx	?	?	?
1-6DYYNAX	1-LRWO4-23	CLS50317CS	               5.0000000	24.000000	24.000000	               2.0000000	ANDORRA	North America	?	OTHER	?	?	?
1-64NQ35F	1-LRWO4-5	CLS78990CS	                .5000000	12.000000	12.000000	               3.0000000	CHILE	CHINA, PEOPLES REPUBLIC	?	?	?	?	?
1-6WSA3G1	1-LRWO4-34	CLC10002708	              20.0000000	?	180.000000	              50.0000000	CHILE	CHILE	?	?	?	?	?
1-6HPA550	1-LRWO4-16	CLS92257CS	                .5000000	12.000000	15.000000	               6.0000000	South America	CHILE	?	?	?	?	?
1-14COEH-418	1-LRWO4-5	CLS88444CS	                .5000000	7.200000	7.200000	               2.0000000	CHILE	FRANCE	?	NONE	?	3	Equal
1-6V92X2F	1-LRWO4-16	CLSCSV_0722019819521	              30.0000000	60.000000	60.000000	               1.0000000	Asia	CHILE	?	Freight Forwarder	?	?	?
1-7ATFDXF	1-LRWO4-6	COMET_1-3NF4FTK	               8.0000000	11.520000	11.520000	               1.0000000	CHILE	UNITED STATES OF AMERICA	?	Other	?	1	Faster
1-6OSAH66	1-LRWO4-16	CLSCSV_1203018826999	              20.0000000	24.000000	24.000000	               8.0000000	SPAIN	CHILE	?	?	?	2	Equal
1-6QCB7F4	1-LRWO4-16	CLS51403CS	              97.0000000	40.980000	40.980000	               1.0000000	MEXICO	CHILE	?	Freight Forwarder	?	2	Equal
1-7JC09RH	1-LRWO4-5	CLS67664CS	                .5000000	36.000000	36.000000	              20.0000000	CHILE	Asia	?	FedEx	?	?	?
1-7IDCJ1F	1-LRWO4-6	CLSCSV_01220111252830	              20.0000000	24.000000	24.000000	               1.0000000	CHILE	South America	?	?	?	?	?
1-6ORP1X6	1-LRWO4-16	CLSCSV_0621019582248	               3.0000000	6.000000	6.000000	               1.0000000	UNITED STATES OF AMERICA	CHILE	?	Other	?	1	Faster
1-6M6H3AQ	1-LRWO4-16	COMET_1-44N4LI1	             111.0000000	72.960000	72.960000	               1.0000000	CHINA, PEOPLES REPUBLIC	CHILE	?	?	?	?	?
1-68DF61H	1-LRWO4-6	CLSCSV_0226018778953	                .5000000	9.000000	10.800000	               4.0000000	CHILE	Asia	?	OTHER	?	?	?
1-633CM6X	1-LRWO4-5	CLSCSV_0103019035931	                .5000000	?	2.838600	               1.0000000	CHILE	UNITED STATES OF AMERICA	?	?	?	1	Faster
1-6GR0V79	1-LRWO4-16	COMET_1-WKGU22	             667.0000000	200.100000	200.100000	               1.0000000	ITALY	CHILE	?	Other	?	2	Equal
1-6O8YAYV	1-LRWO4-6	CLSISL_0619019567806	              30.0000000	47.700000	47.700000	               1.0000000	CHILE	Europe	?	Other	?	?	?
1-7A6XTQJ	1-LRWO4-6	CLS83414WL	             200.0000000	63.600000	63.600000	               1.0000000	CHILE	SPAIN	?	Other	?	3	Equal
1-75ILYZM	1-LRWO4-16	COMET_1-5F7KORD	              25.0000000	18.000000	18.000000	               1.0000000	Asia	CHILE	?	?	?	?	?
1-74LNMG1	1-LRWO4-16	CLS8334CS	              30.0000000	?	9.000000	               1.0000000	Asia	CHILE	?	?	?	?	?
1-7A6XU1B	1-LRWO4-16	COMET_1-2TXT1OR	              15.0000000	16.020000	16.020000	               1.0000000	ITALY	CHILE	?	Other	?	2	Equal
1-6IENZTQ	1-LRWO4-16	CLSCSV_0507019248944	              10.0000000	25.680000	25.680000	               1.0000000	CHINA, PEOPLES REPUBLIC	CHILE	?	FedEx	?	?	?
1-7J3EIAR	1-LRWO4-6	CLCSINC20182727_17	              10.0000000	60.000000	60.000000	               4.0000000	CHILE	UNITED STATES OF AMERICA	?	Hot Express Chiletrans Courier	?	1	Faster
1-6N3FX5N	1-LRWO4-16	CLSCSV_0607019480851	              20.0000000	15.000000	15.000000	               2.0000000	Europe	CHILE	?	?	?	?	?
1-69IMN7Q	1-LRWO4-6	COMET_1-6384E4H	               6.5000000	7.800000	7.800000	               1.0000000	CHILE	PERU	?	FedEx	?	1	Faster
1-7IIUGFR	1-LRWO4-16	CLSION_01160111198118	              50.0000000	18.000000	18.000000	               1.0000000	PERU	CHILE	?	NONE	?	1	Equal
1-7D3WN26	1-LRWO4-5	CLS86768CS	                .5000000	12.000000	12.000000	               3.0000000	CHILE	South America	?	?	?	?	?
1-7IC0N2K	1-LRWO4-6	CLC10004611	            1060.0000000	699.600000	699.600000	               2.0000000	CHILE	TRINIDAD AND TOBAGO	?	?	?	3	Equal
1-67RYCHR	1-LRWO4-16	CLCSINC26150679_211	              15.0000000	48.000000	48.000000	               2.0000000	Europe	CHILE	?	UPS	?	?	?
1-6GMIR15	1-LRWO4-16	COMET_1-6GMIQVI	              15.0000000	66.000000	66.000000	              20.0000000	Europe	CHILE	?	FedEx	?	?	?
1-7DQV9YD	1-LRWO4-6	CLSION_12180111012734	              22.0000000	18.000000	18.000000	               1.0000000	CHILE	VENEZUELA	?	Other	?	3	Faster
1-6BE20NP	1-LRWO4-16	CLSCSV_0312018875559	              10.0000000	24.600000	24.600000	               1.0000000	UNITED STATES OF AMERICA	CHILE	?	?	?	1	Faster
1-778WEET	1-LRWO4-6	COMET_1-7780RNT	              10.0000000	20.566200	20.566200	               1.0000000	CHILE	Europe	?	Other	?	?	?
1-643VIE5	1-LRWO4-16	COMET_1-643VID4	              10.0000000	210.000000	210.000000	              20.0000000	UNITED STATES OF AMERICA	CHILE	?	FedEx	?	1	Faster
1-7CE4RCR	1-LRWO4-16	CLS10567CS	             118.0000000	54.000000	60.000000	               1.0000000	INDIA	CHILE	?	?	?	3	Equal
1-72NKWQB	1-LRWO4-16	CLSCSV_0612017104454	               1.0000000	3.720000	4.140000	               1.0000000	UNITED STATES OF AMERICA	CHILE	?	?	?	1	Faster
1-74RSR3F	1-LRWO4-6	COMET_1-44JQMX6	              16.0000000	8.220000	8.220000	               1.0000000	CHILE	UNITED STATES OF AMERICA	?	?	?	1	Faster
1-6H8J8BK	1-LRWO4-16	CLSION_0423019150077	               5.0000000	?	8.281200	               1.0000000	Europe	CHILE	?	OTHER	?	?	?
1-7LFQFNA	1-LRWO4-6	CLS38680WL	              18.0000000	12.360000	12.360000	               1.0000000	CHILE	PERU	?	NONE	?	1	Faster
1-6A8QLOB	1-LRWO4-16	CLSISL_0311018866505	              10.0000000	24.000000	24.000000	               1.0000000	TURKEY	CHILE	?	?	?	2	Faster
1-6CEQXHI	1-LRWO4-16	COMET_1-5ZL2W29	              50.0000000	0.060000	0.060000	              30.0000000	North America	CHILE	?	FedEx	?	?	?
1-6QU4WAN	1-LRWO4-16	CLSCSV_0502019218252	               1.0000000	90.000000	90.000000	             200.0000000	MEXICO	CHILE	?	?	?	2	Equal
1-664KDD1	1-LRWO4-16	CLSCSV_0206018665741	              25.0000000	35.760000	35.760000	               1.0000000	HONG KONG	CHILE	?	Freight Forwarder	?	2	Equal
1-6VP3KO3	1-LRWO4-16	CLSCSV_0708019710673	             180.0000000	43.200000	43.200000	               1.0000000	SPAIN	CHILE	?	Freight Forwarder	?	2	Equal
1-6O96BB7	1-LRWO4-16	COMET_1-2X8LHXO	              76.5000000	29.640000	29.640000	               1.0000000	Europe	CHILE	?	Other	?	?	?
1-7I72WCD	1-LRWO4-16	CLSCSV_01200111222754	              15.0000000	24.000000	24.000000	               1.0000000	GERMANY	CHILE	?	Other	?	2	Equal
1-7EP82JV	1-LRWO4-16	COMET_1-4FQR1I	              13.0000000	150.000000	150.000000	              16.0000000	CHINA, PEOPLES REPUBLIC	CHILE	?	Freight Forwarder	?	?	?
1-7LLA02M	1-LRWO4-16	CLSCSV_02120111375411	              40.0000000	57.420000	95.100000	               1.0000000	Asia	CHILE	?	FedEx	?	?	?
1-6DLBN4J	1-LRWO4-6	COMET_1-6DLBN4C	             160.0000000	?	?	               1.0000000	CHILE	UNITED KINGDOM	?	?	?	4	Slower
1-695SCO1	1-LRWO4-16	CLSCSV_0228018796215	               5.0000000	7.800000	7.800000	               1.0000000	TAIWAN	CHILE	?	?	?	2	Equal
1-6QIG5TL	1-LRWO4-16	CLSCSV_0702019668916	              20.0000000	18.000000	18.000000	               4.0000000	CHINA, PEOPLES REPUBLIC	CHILE	?	?	?	?	?
1-143AOV-183	1-LRWO4-5	COMET_1-J59A17	                .5000000	3.000000	3.000000	               1.0000000	CHILE	UNITED STATES OF AMERICA	?	?	?	1	Faster
1-6HPTV4Y	1-LRWO4-16	CLSCSV_0425019177114	               4.0000000	?	32.493000	               5.0000000	Europe	CHILE	?	OTHER	?	?	?
1-74QAW3Q	1-LRWO4-6	COMET_1-6P04XMM	                .5000000	9.000000	9.000000	               3.0000000	CHILE	South America	?	FedEx	?	?	?
1-7I0OMRI	1-LRWO4-16	CLS44554CS	              50.0000000	23.040000	23.040000	               1.0000000	Europe	CHILE	?	OTHER	?	?	?
1-6T43HSR	1-LRWO4-6	COMET_1-5MMVVO3	              30.0000000	12.000000	12.000000	               4.0000000	CHILE	Europe	?	?	?	?	?
1-6LQ1LQT	1-LRWO4-34	COMET_1-6LHQRWJ	               2.0000000	9.000000	9.000000	              10.0000000	CHILE	CHILE	?	Other	?	?	?
1-7J2TSBZ	1-LRWO4-16	CLSCSV_01240111265775	               5.0000000	12.000000	18.600000	               1.0000000	Asia	CHILE	?	Chile Express	?	?	?
1-72WJ6SV	1-LRWO4-16	CLSION_09270110371684	               1.0000000	15.000000	15.000000	               2.0000000	CHINA, PEOPLES REPUBLIC	CHILE	?	Otros	?	?	?
1-72MWES2	1-LRWO4-16	CLS78030IS	               2.0000000	12.000000	12.000000	               1.0000000	South America	CHILE	?	OTHER	?	?	?
1-6KCE8A2	1-LRWO4-16	CLSCSV_0515019310770	               1.0000000	18.000000	30.000000	               2.0000000	Europe	CHILE	?	OTHER	?	?	?
1-6XHSFJD	1-LRWO4-6	CLS38408CS	               5.0000000	6.000000	6.000000	               1.0000000	CHILE	UNITED STATES OF AMERICA	?	?	?	1	Faster
1-6PH6YTJ	1-LRWO4-34	CLC10003525	              10.0000000	24.000000	24.000000	               3.0000000	CHILE	CHILE	?	?	?	?	?
1-64BRKOU	1-LRWO4-16	COMET_1-64BPZF5	              45.0000000	18.000000	18.000000	               2.0000000	Europe	CHILE	?	Freight Forwarder	Other	?	?
1-695I33W	1-LRWO4-6	CLSCSV_1113018655562	              15.0000000	21.000000	21.000000	               1.0000000	CHILE	Asia	?	?	?	?	?
1-7335Q7F	1-LRWO4-5	COMET_1-ON6OT4	                .5000000	?	3.266400	               2.0000000	CHILE	SINGAPORE	?	?	?	3	Equal
1-6FI7HLA	1-LRWO4-16	COMET_1-1Q21Y2P	              75.5000000	96.000000	96.000000	               1.0000000	GERMANY	CHILE	?	OTHER	?	2	Equal
1-6M5MAYN	1-LRWO4-16	CLSCSV_0531019432758	               5.0000000	10.800000	10.800000	               1.0000000	North America	CHILE	?	Other	?	?	?
1-72S1QZR	1-LRWO4-16	CLSION_10010110389446	              15.0000000	48.000000	48.000000	               2.0000000	UNITED STATES OF AMERICA	CHILE	?	OTHER	?	1	Faster
1-73N8BXK	1-LRWO4-16	CLSION_10030110413811	               5.0000000	7.800000	9.000000	               1.0000000	Europe	CHILE	?	OTHER	?	?	?
1-6ZHOEA7	1-LRWO4-16	COMET_1-3GR50YN	             136.0000000	48.000000	48.000000	               1.0000000	UNITED STATES OF AMERICA	CHILE	?	Freight Forwarder	?	1	Faster
1-7E2M1MN	1-LRWO4-16	CLSCSV_12170111004099	              15.0000000	18.000000	24.000000	               1.0000000	Asia	CHILE	?	OTHER	?	?	?
1-16K7GV-1	1-LRWO4-6	COMET_1-SS315M	              10.0000000	18.000000	18.000000	               2.0000000	CHILE	CHINA, PEOPLES REPUBLIC	?	OTHER	?	?	?
1-62YBIED	1-LRWO4-16	CLSCSV_1221018978705	              15.0000000	60.000000	60.000000	               3.0000000	CHINA, PEOPLES REPUBLIC	CHILE	?	?	?	?	?
1-66UZPD4	1-LRWO4-16	COMET_1-66UZPAZ	              40.0000000	60.000000	60.000000	              10.0000000	North America	CHILE	?	FedEx	?	?	?
1-79LOWNF	1-LRWO4-16	CLSCSV_11190110785865	             100.0000000	25.255800	25.255800	               1.0000000	PERU	CHILE	?	Other	?	1	Equal
1-7BF1AXY	1-LRWO4-6	CLSCSV_0213015947949	               8.0000000	24.000000	24.000000	               2.0000000	CHILE	CHINA, PEOPLES REPUBLIC	?	Other	?	?	?
1-6L8B5DJ	1-LRWO4-34	CLSION_0525019389349	               2.0000000	24.000000	27.000000	               8.0000000	CHILE	CHILE	?	OTHER	?	?	?
1-6Z9OODZ	1-LRWO4-16	CLSCSV_09090110193347	              10.0000000	?	?	               2.0000000	BRAZIL	CHILE	?	?	?	2	Slower
1-6T9P7B6	1-LRWO4-16	CLSCSV_1113018655620	              25.0000000	43.980000	43.980000	               1.0000000	CHINA, PEOPLES REPUBLIC	CHILE	?	Other	?	?	?
1-652IJI3	1-LRWO4-23	COMET_1-4RR83G4	              67.0000000	51.000000	51.000000	               1.0000000	ITALY	COLOMBIA	?	?	?	2	Equal
1-73SUEHK	1-LRWO4-16	CLSCSV_0322018953442	               1.0000000	4.200000	4.200000	               1.0000000	AUSTRIA	CHILE	?	?	?	2	Faster
1-65PY36Z	1-LRWO4-6	CLC10000069	              17.8000000	163.200000	163.200000	              18.0000000	CHILE	UNITED STATES OF AMERICA	?	Freight Forwarder	?	1	Faster
1-6MMNUE7	1-LRWO4-16	COMET_1-6MMNUDZ	               1.0000000	240.000000	240.000000	              10.0000000	Asia	CHILE	?	?	?	?	?
1-6QIB286	1-LRWO4-16	COMET_1-6EBAN7H	               2.0000000	120.000000	120.000000	              50.0000000	North America	CHILE	?	UPS	?	?	?
1-7GD4TPV	1-LRWO4-6	CLS46948CS	              14.0000000	21.540000	21.540000	               1.0000000	CHILE	TRINIDAD AND TOBAGO	?	?	?	3	Equal
1-651XY2W	1-LRWO4-16	CLS1755CS	               3.0000000	7.580400	9.475800	               1.0000000	SWITZERLAND	CHILE	?	?	?	2	Equal
1-72NA8GP	1-LRWO4-16	COMET_1-8AI7QU	              14.0000000	120.000000	120.000000	              19.0000000	Asia	CHILE	?	?	?	?	?
1-14BNB9-308	1-LRWO4-16	CLC10003460	              20.0000000	300.000000	300.000000	              30.0000000	Asia	CHILE	?	Freight Forwarder	?	?	?
1-7AKVQNA	1-LRWO4-16	COMET_1-77L1YET	             360.0000000	92.220000	92.220000	               1.0000000	South America	CHILE	?	?	?	?	?
1-6NT95TC	1-LRWO4-16	CLSCSV_0613019525899	              60.0000000	60.000000	60.000000	               2.0000000	CHINA, PEOPLES REPUBLIC	CHILE	?	FedEx	?	?	?
1-67DZ0A6	1-LRWO4-16	COMET_1-67DZ09V	              10.0000000	30.000000	30.000000	               1.0000000	Asia	CHILE	?	FedEx	?	?	?
1-78Y1AF5	1-LRWO4-16	CLSCSV_11140110753845	              10.0000000	9.600000	9.600000	               1.0000000	North America	CHILE	?	Other	?	?	?
1-14BNB9-62	1-LRWO4-16	CLC10012083	              17.0000000	22.140000	22.140000	               1.0000000	GERMANY	CHILE	?	Other	?	2	Equal
1-7LNCE2H	1-LRWO4-16	COMET_1-ON6OXB	             260.0000000	84.360000	84.360000	               1.0000000	Europe	CHILE	?	Freight Forwarder	?	?	?
1-68NNOSD	1-LRWO4-16	CLSCSV_1115018675911	              15.0000000	21.240000	21.240000	               1.0000000	CHINA, PEOPLES REPUBLIC	CHILE	?	Other	?	?	?
1-71URYSE	1-LRWO4-16	CLSCSV_09040110157097	              15.0000000	24.000000	24.000000	               1.0000000	Europe	CHILE	?	FedEx	?	?	?
1-7FAFQ2Z	1-LRWO4-6	CLSCSV_12020110891459	               5.0000000	30.000000	30.000000	               8.0000000	CHILE	South America	?	Freight Forwarder	?	?	?
1-7407FVZ	1-LRWO4-16	CLS79812WL	             100.0000000	32.940000	32.940000	               1.0000000	Europe	CHILE	?	?	?	?	?
1-7FY11LX	1-LRWO4-16	CLS94654CS	              50.0000000	36.000000	36.000000	               1.0000000	CHINA, PEOPLES REPUBLIC	CHILE	?	NONE	?	?	?
1-6LH3VKV	1-LRWO4-6	CLS80811CS	              22.0000000	?	21.397200	               1.0000000	CHILE	Europe	?	Other	?	?	?
1-67P8NRO	1-LRWO4-16	CLCSINC26702865_156	               3.0000000	24.000000	24.000000	               2.0000000	CHINA, PEOPLES REPUBLIC	CHILE	?	UPS	?	?	?
1-6MGWEFQ	1-LRWO4-16	CLS49939WL	              20.0000000	54.000000	54.000000	               3.0000000	CHINA, PEOPLES REPUBLIC	CHILE	?	Other	?	?	?
1-7F4I5H5	1-LRWO4-6	CLC10001619	             100.0000000	72.000000	120.000000	               3.0000000	CHILE	PERU	?	Freight Forwarder	?	1	Faster
1-65ITBRF	1-LRWO4-16	CLC10003831	              80.0000000	54.720000	54.720000	               2.0000000	CHINA, PEOPLES REPUBLIC	CHILE	?	Freight Forwarder	?	?	?
1-6XAW6YJ	1-LRWO4-6	COMET_1-6ISFVHO	              15.0000000	30.000000	39.000000	               3.0000000	CHILE	Europe	?	OTHER	?	?	?
1-7KRQASD	1-LRWO4-6	CLCSINC26150679_1404	              15.0000000	90.000000	120.000000	              50.0000000	CHILE	UNITED STATES OF AMERICA	?	?	?	1	Faster
1-7K26DVI	1-LRWO4-6	CLC10004857	              91.0000000	24.000000	24.000000	               1.0000000	CHILE	PERU	?	Freight Forwarder	?	1	Faster
1-65DPG0C	1-LRWO4-6	CLC10003703	               1.0000000	180.000000	180.000000	             135.0000000	CHILE	Europe	?	FedEx	?	?	?
1-6CL4KEC	1-LRWO4-16	CLSCSV_0311018865803	             100.0000000	24.000000	24.000000	               1.0000000	UNITED STATES OF AMERICA	CHILE	?	?	?	1	Faster
1-6M6GXFR	1-LRWO4-16	CLS35346CS	             250.0000000	142.500000	142.500000	               1.0000000	Asia	CHILE	?	OTHER	?	?	?
1-76K35W3	1-LRWO4-16	CLSION_10290110620123	              30.0000000	48.000000	48.000000	               2.0000000	South America	CHILE	?	FedEx	?	?	?
